codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo10_downautismo,aplicadas_dose1_grupo12_puerperascomorbidade,aplicadas_dose1_grupo13_gestantecomorbidade,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo10_downautismo,aplicadas_dose2_grupo12_puerperascomorbidade,aplicadas_dose2_grupo13_gestantecomorbidade,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil
280120,Canindé de São Francisco,30402,278,703,1214,5671,1975,4936,1887,474,0,0,343,812,1235,0,408,74,13,5,14,79,1168,300,0,0,0,0,11,0,0,0,0,0,356,0,0,333,769,386,0,0,35,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280130,Capela,34514,564,1121,2006,8836,3563,7090,2215,761,0,0,562,1103,1767,0,587,45,17,4,5,39,1733,340,0,0,0,89,1,11,25,0,0,1,606,0,0,377,864,320,0,0,34,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280140,Carira,22239,450,956,1559,5834,2812,5194,2702,314,0,0,510,962,1689,0,0,17,19,0,0,58,1355,248,0,0,0,20,0,0,2,0,0,0,280,0,0,489,959,949,0,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280150,Carmópolis,16937,117,294,770,3071,1081,2518,729,324,0,0,144,328,748,0,0,89,10,1,1,20,575,206,0,0,0,72,0,0,0,0,0,0,256,0,0,79,157,199,0,0,31,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,1813,839,1474,834,154,0,0,117,309,368,0,0,9,7,0,1,10,351,122,0,0,0,14,0,0,12,0,0,0,131,0,0,137,305,249,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280170,Cristinápolis,18029,202,496,876,3992,2037,2838,1411,325,0,0,293,491,778,0,0,12,6,1,1,48,753,120,0,0,0,6,4,0,0,0,0,0,302,0,0,153,447,499,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280190,Cumbe,3998,94,198,262,1397,534,1098,505,82,0,0,98,198,248,0,189,8,0,1,0,29,124,63,0,0,0,6,8,7,37,0,0,0,70,0,0,84,198,145,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280200,Divina Pastora,5215,69,155,317,1314,500,1071,475,140,0,0,78,150,240,0,0,13,1,0,2,34,157,152,0,0,0,29,6,2,67,0,0,0,116,0,0,66,146,137,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280210,Estância,69556,1093,2308,4544,19295,8448,15154,5395,2062,33,0,1280,2056,4144,0,261,292,28,34,93,83,3490,909,0,0,0,0,296,0,0,93,0,0,1444,33,0,1218,1777,634,0,206,59,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280220,Feira Nova,5601,100,217,383,1442,623,1037,559,78,0,0,108,210,341,0,0,8,2,0,1,33,178,63,0,0,0,15,0,0,0,0,0,0,78,0,0,106,207,160,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280230,Frei Paulo,15556,294,608,994,4009,1675,3870,1582,237,0,0,307,595,1002,0,183,14,3,3,7,151,596,257,0,0,0,57,7,87,364,0,0,0,207,0,0,293,574,499,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280240,Gararu,11601,203,448,701,2900,1368,2077,1171,148,4,0,257,516,701,0,0,15,6,0,0,5,171,10,0,0,0,1,0,0,49,194,0,0,132,4,0,248,505,267,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280250,General Maynard,3384,47,109,207,887,391,819,375,110,0,0,52,106,209,0,0,26,2,0,0,59,148,75,0,0,0,32,0,0,0,0,0,0,98,0,0,50,106,116,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280260,Gracho Cardoso,5824,150,281,469,1741,823,1480,792,122,0,0,172,286,474,0,0,13,5,0,3,47,339,19,0,0,0,0,0,0,0,0,0,0,95,0,0,172,280,236,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280270,Ilha das Flores,8521,170,275,452,2358,792,1813,652,113,0,0,187,277,509,0,313,13,5,1,3,45,251,91,0,0,0,0,5,0,0,0,0,0,110,0,0,83,266,184,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280280,Indiaroba,18149,221,453,850,3658,1452,2544,1171,247,0,0,281,449,752,0,117,52,10,0,0,0,265,342,0,0,0,28,1,0,0,0,0,0,227,0,0,162,410,334,0,0,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280290,Itabaiana,96142,1449,3289,6024,25132,9951,24501,7634,3043,227,0,1951,3420,6206,0,0,239,66,5,15,125,4281,725,0,0,0,238,66,1544,1288,1062,0,0,1926,156,0,1681,2881,827,0,0,118,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280300,Itabaianinha,42166,630,1353,2494,9811,3851,8821,3484,801,0,0,695,1416,2195,0,0,68,20,4,5,220,2351,516,0,0,0,18,44,69,76,1,0,322,531,0,0,427,1309,1193,0,0,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280310,Itabi,4886,115,264,446,1632,703,1238,665,105,0,0,105,283,399,0,0,6,4,0,0,50,236,50,0,0,0,0,0,0,0,0,0,0,91,0,0,104,280,183,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280320,Itaporanga d'Ajuda,34709,482,1079,1790,7541,3716,6657,3162,672,0,0,470,1389,1760,0,0,58,18,5,10,123,1722,382,0,0,0,16,24,8,0,0,0,0,579,0,0,439,1174,935,0,0,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280330,Japaratuba,18907,302,670,1215,5193,2250,4027,1925,302,0,0,298,704,1077,0,317,35,9,1,13,100,619,320,0,0,0,72,0,0,160,0,0,0,264,0,0,294,651,409,0,301,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280340,Japoatã,13429,208,477,734,3916,1395,2686,1130,219,0,0,257,499,771,0,524,27,13,0,0,40,294,42,0,0,0,0,0,0,0,0,0,0,209,0,0,86,466,352,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280350,Lagarto,105221,1941,4108,7217,32198,13240,24378,10146,3968,48,0,2029,4158,6805,0,661,183,69,8,18,559,3902,1528,0,0,0,102,117,223,0,0,0,0,2994,46,0,1124,3628,2293,0,0,18,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
280360,Laranjeiras,30080,269,727,1448,8996,2515,7180,2010,603,0,0,295,713,1245,0,1995,102,23,2,8,58,1432,525,0,0,0,0,28,0,151,0,0,0,429,0,0,150,698,713,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280370,Macambira,6961,178,337,535,1980,935,1706,906,107,0,0,186,319,510,0,0,11,5,1,5,19,394,76,0,0,0,9,10,10,44,0,0,0,99,0,0,254,328,213,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280380,Malhada dos Bois,3699,55,111,180,856,547,767,295,104,0,0,75,125,211,0,0,18,6,0,0,6,177,45,0,0,0,0,0,0,0,0,0,0,97,0,0,59,98,29,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280390,Malhador,12653,203,468,914,3295,1316,2726,1157,158,0,0,222,496,826,0,0,11,10,1,4,66,416,254,0,0,0,30,6,121,105,0,0,0,136,0,0,220,451,330,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280400,Maruim,17271,179,453,898,3488,1561,3106,1326,275,0,0,242,531,995,0,0,52,4,1,5,131,685,185,0,0,0,0,0,0,0,0,0,0,253,0,0,268,489,284,0,0,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280410,Moita Bonita,11348,318,611,904,3523,1945,3153,1634,168,0,0,322,607,886,0,0,11,10,1,4,152,830,140,0,0,0,17,5,0,0,0,0,0,131,0,0,322,582,582,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280420,Monte Alegre de Sergipe,15175,183,452,806,3134,1578,2123,1429,207,0,0,212,437,759,0,0,11,6,4,8,31,266,83,0,0,0,39,0,0,60,0,0,0,187,0,0,212,430,594,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280430,Muribeca,7639,120,263,500,1916,1021,1596,812,119,0,0,127,284,498,0,0,13,3,0,1,1,480,70,0,0,0,0,0,0,0,0,0,0,99,0,0,114,269,316,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280440,Neópolis,18703,361,698,1274,5109,2366,3384,1693,430,0,0,408,682,1134,0,0,36,11,0,0,8,525,150,0,0,0,0,0,0,0,0,0,0,392,0,0,138,553,580,0,0,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280445,Nossa Senhora Aparecida,8809,170,416,645,2604,1364,2345,1329,145,0,0,220,446,646,0,126,8,5,0,0,84,280,160,0,0,0,18,14,39,154,0,0,0,138,0,0,217,441,395,0,126,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280450,Nossa Senhora da Glória,37324,525,1255,2188,9464,3881,6650,2970,865,20,0,689,1341,1861,0,0,70,10,1,7,255,972,265,16,218,0,60,0,0,0,0,0,0,752,19,0,650,1222,271,0,0,51,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280460,Nossa Senhora das Dores,26795,473,1011,1821,6959,3079,5313,2678,642,0,0,546,1053,1714,0,0,63,24,7,49,39,808,368,0,0,0,0,0,0,0,0,0,0,522,0,0,490,925,699,0,0,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280470,Nossa Senhora de Lourdes,6496,114,268,459,1868,891,1510,720,128,0,0,132,303,457,0,0,14,3,0,0,52,263,155,0,0,0,0,0,2,1,0,0,0,114,0,0,114,274,211,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280480,Nossa Senhora do Socorro,185706,1310,4085,10283,39052,15885,30633,12692,2632,36,0,1477,3859,8555,0,2,452,81,12,16,349,8705,2151,64,443,0,450,0,0,1349,0,0,0,1823,36,0,1338,3528,5798,0,0,111,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280490,Pacatuba,14540,230,455,822,3204,1349,2963,1240,198,0,0,229,455,800,0,0,8,12,4,9,163,915,170,0,0,0,0,0,0,0,0,0,0,171,0,0,207,433,410,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280500,Pedra Mole,3285,65,121,245,896,379,812,356,68,0,0,68,146,216,0,0,7,1,0,0,41,210,55,0,0,0,0,0,0,0,0,0,0,65,0,0,68,139,78,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280510,Pedrinhas,9665,156,335,604,2269,1053,1782,859,158,0,0,188,398,540,0,0,12,9,0,2,11,359,104,0,0,0,0,1,0,0,0,0,0,131,0,0,60,384,268,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280520,Pinhão,6627,134,336,524,1875,931,1441,865,90,0,0,127,319,479,0,0,10,7,0,0,42,99,84,0,0,0,14,15,0,155,0,0,0,84,0,0,125,315,328,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280530,Pirambu,9359,130,267,522,2571,986,2292,843,163,0,0,157,264,508,0,302,27,3,0,30,16,526,191,0,0,0,59,46,0,0,0,0,0,155,0,0,152,252,259,0,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280540,Poço Redondo,35122,399,1056,1672,7638,3126,6355,3266,448,0,0,534,1107,1355,0,316,41,22,9,12,47,1960,313,0,0,0,15,0,3,172,0,0,1,373,0,0,475,1134,1264,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280550,Poço Verde,23867,576,1241,1828,7005,3541,5353,2768,395,0,0,546,1108,1775,0,140,16,9,0,1,292,678,338,0,0,0,32,23,0,0,0,0,0,388,0,0,329,1111,929,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280560,Porto da Folha,28693,477,1002,1660,7406,3237,5998,3059,473,0,260,501,1056,1630,2,408,47,11,1,6,145,754,495,0,0,0,2,16,0,186,5,0,0,400,0,260,495,1020,858,0,0,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280570,Propriá,29692,524,990,1914,8221,3343,6421,2430,1095,21,0,579,998,1733,0,13,144,21,2,11,21,1247,536,0,0,0,0,0,0,0,0,0,0,889,21,0,193,924,340,0,0,54,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280580,Riachão do Dantas,19809,386,781,1181,5167,2313,4625,1989,327,0,0,466,872,1189,0,231,25,5,0,5,129,1129,205,0,0,0,23,19,0,0,0,0,0,301,0,0,252,843,582,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280590,Riachuelo,10284,116,275,517,2431,1000,1843,872,228,0,0,133,253,509,0,171,17,7,0,2,2,279,176,0,0,0,39,1,0,26,0,0,0,203,0,0,81,232,336,0,0,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280600,Ribeirópolis,18773,438,892,1340,5258,2443,4858,2305,411,49,0,414,841,1247,0,0,37,15,1,0,139,986,333,0,0,0,34,55,0,296,0,0,0,348,49,0,410,839,630,0,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280610,Rosário do Catete,11008,97,240,544,2455,984,2092,921,303,0,0,130,335,451,0,0,43,10,0,3,25,560,105,0,0,0,0,0,0,127,0,0,0,268,0,0,123,288,200,0,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280620,Salgado,20025,352,780,1250,5322,2277,4277,2364,297,0,0,411,841,1263,0,0,13,10,0,0,151,872,325,0,0,0,25,24,44,1,0,0,0,265,0,0,406,839,839,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280630,Santa Luzia do Itanhy,14121,156,374,758,5270,1016,3948,683,185,0,0,187,391,727,0,1898,11,11,0,1,57,323,157,0,0,0,0,0,0,0,0,0,0,150,0,0,112,273,137,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280650,Santa Rosa de Lima,3923,88,163,403,1238,547,866,515,104,0,0,93,175,241,0,0,18,3,0,0,8,127,91,0,0,0,4,2,0,0,0,0,0,95,0,0,91,170,151,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280640,Santana do São Francisco,7844,111,218,472,1517,612,1369,541,126,0,0,137,259,362,0,0,7,3,1,2,49,348,75,0,0,0,0,0,0,0,0,0,0,97,0,0,74,234,127,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280660,Santo Amaro das Brotas,12151,205,399,774,2770,1654,2239,1300,175,0,0,236,420,788,0,0,27,10,0,0,0,411,172,0,0,0,0,0,0,0,0,0,0,169,0,0,231,391,480,0,0,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280670,São Cristóvão,91093,989,2400,5663,27122,7432,16336,6427,1463,27,0,1076,2217,5048,1,30,249,49,8,13,268,4665,1063,75,51,0,0,33,0,0,0,0,0,1131,26,0,538,2149,2525,0,0,40,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280680,São Domingos,11207,218,488,817,2945,1347,2534,1259,196,0,0,192,480,761,0,0,19,15,0,0,162,337,216,0,0,0,18,22,71,41,4,0,0,152,0,0,191,476,419,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280690,São Francisco,3781,64,138,246,931,419,740,409,103,0,0,62,114,247,0,0,11,1,0,1,19,152,26,0,0,0,0,4,0,0,0,0,0,74,0,0,47,114,162,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280700,São Miguel do Aleixo,3947,83,169,283,1176,599,929,443,90,0,0,95,184,289,0,0,13,2,0,0,38,150,45,0,0,0,22,1,0,0,0,0,0,90,0,0,94,184,70,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280710,Simão Dias,40606,914,1749,2657,11323,5390,8690,4303,924,12,0,1134,1849,2591,0,254,91,23,4,12,85,665,615,0,0,0,7,30,77,317,0,0,0,762,12,0,589,1669,1219,0,0,37,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280720,Siriri,8970,154,316,533,2292,973,1808,913,170,0,0,162,305,473,0,168,10,1,0,2,57,270,144,0,0,0,25,1,4,16,0,0,0,135,0,0,157,298,313,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280730,Telha,3249,49,100,178,822,369,740,367,92,0,0,59,102,183,0,0,12,4,0,0,2,239,37,0,0,0,10,0,0,0,0,0,0,83,0,0,59,101,114,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280740,Tobias Barreto,52530,1046,2188,3513,15263,6538,12350,5479,1555,33,0,1314,2103,3150,0,0,105,34,1,6,190,2175,887,82,0,0,18,131,4,562,0,0,0,966,33,0,636,2034,1672,0,0,105,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280750,Tomar do Geru,13535,208,446,760,3069,1336,2108,1042,203,0,0,205,445,752,0,0,14,1,0,2,53,270,147,0,0,0,14,1,1,0,0,0,0,141,0,0,143,382,367,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280760,Umbaúba,25550,308,725,1482,6386,2238,4687,1926,464,0,0,370,723,1393,0,0,26,24,2,12,194,831,515,0,0,0,44,39,26,0,1,0,23,426,0,0,133,670,659,0,0,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
