codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose1_grupo7,aplicadas_dose1_grupo8,aplicadas_dose1_grupo9,aplicadas_dose1_grupo10,aplicadas_dose1_grupo11,aplicadas_dose1_grupo12,aplicadas_dose1_grupo13,aplicadas_dose1_grupo14,aplicadas_dose1_grupo15,aplicadas_dose1_grupo16,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6,aplicadas_dose2_grupo7,aplicadas_dose2_grupo8,aplicadas_dose2_grupo9,aplicadas_dose2_grupo10,aplicadas_dose2_grupo11
280480,Nossa Senhora do Socorro,185706,1310,4085,10283,30680,15885,25023,12590,2534,36,0,1472,3839,8482,0,0,436,78,0,6,6,232,7033,869,1714,36,0,1329,3615,5730,0,0,111,55,0
280490,Pacatuba,14540,230,455,822,2514,1329,2543,1106,191,0,0,229,455,786,0,0,8,11,0,4,9,91,736,23,171,0,0,73,433,410,0,0,8,11,0
280500,Pedra Mole,3285,65,121,245,716,379,643,356,66,0,0,68,145,206,0,0,7,1,0,0,0,27,123,0,65,0,0,68,139,78,0,0,5,1,0
280510,Pedrinhas,9665,156,335,604,1789,943,1477,833,153,0,0,188,398,536,0,0,11,8,0,0,0,0,183,0,131,0,0,60,373,254,0,0,9,6,0
280520,Pinhão,6627,134,336,524,1545,891,1189,866,88,0,0,127,319,479,0,0,10,7,0,0,0,31,91,37,84,0,0,125,315,328,0,0,8,6,0
280530,Pirambu,9359,130,267,522,1931,986,1783,840,161,0,0,157,263,497,0,229,27,3,0,0,1,9,436,0,156,0,0,152,252,259,0,0,18,3,0
280540,Poço Redondo,35122,399,1056,1672,6048,3126,5462,3216,441,0,0,495,1105,1338,0,316,37,17,0,4,6,22,1648,33,360,0,0,474,1126,1238,0,0,9,9,0
280550,Poço Verde,23867,576,1241,1828,5735,3141,4665,2381,389,0,0,545,1107,1766,0,140,15,9,0,0,1,187,500,6,383,0,0,181,1102,704,0,0,4,7,0
280560,Porto da Folha,28693,477,1002,1660,5856,2977,5331,3059,447,0,260,500,1054,1609,0,408,47,11,0,1,6,87,688,213,400,0,260,495,1020,858,0,0,15,11,0
280570,Propriá,29692,524,990,1914,6361,3343,5820,2426,1089,21,0,579,998,1730,0,13,142,21,0,2,3,18,1059,145,888,21,0,193,923,338,0,0,54,9,0
280580,Riachão do Dantas,19809,386,781,1181,4322,2313,4057,1955,304,0,0,468,871,1172,0,231,24,4,0,0,1,68,897,17,301,0,0,219,843,582,0,0,6,4,0
280590,Riachuelo,10284,116,275,517,1961,985,1527,855,219,0,0,133,253,508,0,162,17,7,0,0,2,0,226,0,203,0,0,68,228,336,0,0,13,7,0
280600,Ribeirópolis,18773,438,892,1340,4358,2443,4195,2300,399,49,0,414,841,1240,0,0,37,15,0,1,0,122,886,191,346,49,0,410,838,630,0,0,24,3,0
280610,Rosário do Catete,11008,97,240,544,1845,954,1716,913,284,0,0,130,334,441,0,0,35,10,0,0,3,16,460,3,267,0,0,123,286,195,0,0,33,9,0
280620,Salgado,20025,352,780,1250,4062,2117,3629,2089,291,0,0,409,839,1254,0,0,12,9,0,0,0,73,687,55,265,0,0,406,839,564,0,0,7,8,0
280630,Santa Luzia do Itanhy,14121,156,374,758,4550,996,3798,682,184,0,0,187,391,725,0,1898,11,11,0,0,0,51,304,36,150,0,0,112,273,136,0,0,0,11,0
280650,Santa Rosa de Lima,3923,88,163,403,958,543,713,460,104,0,0,93,175,241,0,0,18,3,0,0,0,3,76,0,95,0,0,27,169,161,0,0,5,3,0
280640,Santana do São Francisco,7844,111,218,472,1106,612,1210,518,125,0,0,137,259,356,0,0,7,3,0,1,2,30,271,19,97,0,0,53,234,125,0,0,6,3,0
280660,Santo Amaro das Brotas,12151,205,399,774,2290,1244,2111,923,173,0,0,236,420,785,0,0,27,10,0,0,0,0,460,0,167,0,0,227,337,174,0,0,14,4,0
280670,São Cristóvão,91093,989,2400,5663,16297,7432,14093,6106,1415,27,0,1075,2213,4984,0,30,246,49,0,8,3,137,3748,158,1024,26,0,377,2132,2488,0,0,39,20,0
280680,São Domingos,11207,218,488,817,2355,1306,2041,1228,187,0,0,191,479,755,0,0,18,15,0,0,0,131,265,0,150,0,0,191,476,392,0,0,6,13,0
280690,São Francisco,3781,64,138,246,766,419,639,347,84,0,0,63,116,237,0,0,11,1,0,0,0,12,111,4,74,0,0,21,112,128,0,0,11,1,0
280700,São Miguel do Aleixo,3947,83,169,283,901,529,799,443,90,0,0,95,184,287,0,0,13,2,0,0,0,30,98,0,90,0,0,94,184,70,0,0,5,0,0
280710,Simão Dias,40606,914,1749,2657,9223,5090,7230,3935,887,12,0,1130,1841,2552,0,254,91,23,0,2,8,44,250,136,758,12,0,486,1632,997,0,0,37,13,0
280720,Siriri,8970,154,316,533,1882,973,1547,905,156,0,0,162,305,469,0,168,10,1,0,0,1,0,238,37,135,0,0,157,297,306,0,0,9,1,0
280730,Telha,3249,49,100,178,647,369,632,333,92,0,0,59,102,183,0,0,12,4,0,0,0,2,166,12,82,0,0,26,101,114,0,0,6,4,0
280740,Tobias Barreto,52530,1046,2188,3513,11143,6538,9641,5253,1126,33,0,1305,2098,3113,0,0,183,33,0,0,0,141,1609,0,956,33,0,457,2023,1663,0,0,88,33,0
280750,Tomar do Geru,13535,208,446,760,2354,1276,1775,1001,183,0,0,204,442,679,0,0,14,1,0,0,1,27,187,37,135,0,0,131,376,350,0,0,9,0,0
280760,Umbaúba,25550,308,725,1482,4506,2238,4130,1898,452,0,0,370,721,1381,0,0,24,35,0,0,7,126,673,341,414,0,0,133,665,652,0,0,18,16,0
